nct_id,adverse_event_term,organ_system,serious,frequency_threshold,assessed_participants,affected_participants,events,event_type,antibody_name,antibody_category,indication,phase,enrollment
NCT36359049,Infusion related reaction,General disorders and administration site conditions,No,15%,245,1,2,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 1,245
NCT36359049,Infection,Infections and infestations,Yes,10%,245,7,13,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 1,245
NCT36359049,Infusion related reaction,General disorders and administration site conditions,No,15%,245,15,25,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 1,245
NCT36359049,Cytopenia,Blood and lymphatic system disorders,No,15%,245,1,2,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 1,245
NCT36359049,Infection,Infections and infestations,Yes,15%,245,13,24,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 1,245
NCT36359049,Infusion related reaction,General disorders and administration site conditions,No,5%,245,14,21,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 1,245
NCT36359049,Infusion related reaction,General disorders and administration site conditions,No,15%,245,10,20,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 1,245
NCT36359049,Cytopenia,Blood and lymphatic system disorders,No,5%,245,5,9,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 1,245
NCT36359049,Cytopenia,Blood and lymphatic system disorders,No,15%,245,12,20,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 1,245
NCT48729418,Infusion related reaction,General disorders and administration site conditions,No,5%,865,1,1,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 1,865
NCT48729418,Cytopenia,Blood and lymphatic system disorders,No,5%,865,24,42,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 1,865
NCT48729418,Infection,Infections and infestations,Yes,15%,865,12,18,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 1,865
NCT48729418,Infusion related reaction,General disorders and administration site conditions,No,15%,865,4,6,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 1,865
NCT48729418,Cytopenia,Blood and lymphatic system disorders,No,15%,865,42,70,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 1,865
NCT48729418,Infection,Infections and infestations,Yes,10%,865,47,66,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 1,865
NCT32734633,Cytopenia,Blood and lymphatic system disorders,No,15%,673,11,16,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 1,673
NCT32734633,Infection,Infections and infestations,Yes,10%,673,38,54,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 1,673
NCT32734633,Cytopenia,Blood and lymphatic system disorders,No,5%,673,18,19,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 1,673
NCT32734633,Cytopenia,Blood and lymphatic system disorders,No,5%,673,7,12,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 1,673
NCT32734633,Cytopenia,Blood and lymphatic system disorders,No,10%,673,9,9,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 1,673
NCT32734633,Infection,Infections and infestations,Yes,10%,673,21,21,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 1,673
NCT32734633,Infusion related reaction,General disorders and administration site conditions,No,5%,673,48,54,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 1,673
NCT32734633,Infection,Infections and infestations,Yes,10%,673,14,22,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 1,673
NCT57871801,Infection,Infections and infestations,Yes,10%,310,7,10,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 2,310
NCT57871801,Infection,Infections and infestations,Yes,5%,310,31,54,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 2,310
