nct_id,brief_title,official_title,study_type,phase,enrollment,start_date,completion_date,overall_status,lead_sponsor,study_design,primary_purpose,antibody_name,antibody_category,indication
NCT36359049,Study of Rituximab in Lymphoma,A Phase 1 Study of Rituximab for the Treatment of Lymphoma,Interventional,Phase 1,245,2024-07-06,2026-03-10,Suspended,Industry,Crossover Assignment,Prevention,Rituximab,Anti-CD20,Lymphoma
NCT48729418,Study of Rituximab in Lymphoma,A Phase 1 Study of Rituximab for the Treatment of Lymphoma,Interventional,Phase 1,865,2024-01-19,2024-08-18,Recruiting,NIH,Single Group Assignment,Supportive Care,Rituximab,Anti-CD20,Lymphoma
NCT32734633,Study of Rituximab in Lymphoma,A Phase 1 Study of Rituximab for the Treatment of Lymphoma,Observational,Phase 1,673,2023-01-15,2023-06-29,Completed,Industry,Single Group Assignment,Supportive Care,Rituximab,Anti-CD20,Lymphoma
NCT57871801,Study of Rituximab in Lymphoma,A Phase 2 Study of Rituximab for the Treatment of Lymphoma,Interventional,Phase 2,310,2023-09-10,2023-12-19,Suspended,NIH,Single Group Assignment,Supportive Care,Rituximab,Anti-CD20,Lymphoma
NCT83581942,Study of Rituximab in Lymphoma,A Phase 2 Study of Rituximab for the Treatment of Lymphoma,Observational,Phase 2,72,2023-12-17,2025-11-17,Terminated,NIH,Parallel Assignment,Treatment,Rituximab,Anti-CD20,Lymphoma
NCT23823136,Study of Rituximab in Lymphoma,A Phase 3 Study of Rituximab for the Treatment of Lymphoma,Interventional,Phase 3,230,2024-06-16,2025-06-28,Recruiting,NIH,Parallel Assignment,Prevention,Rituximab,Anti-CD20,Lymphoma
NCT93654326,Study of Rituximab in Lymphoma,A Phase 3 Study of Rituximab for the Treatment of Lymphoma,Interventional,Phase 3,412,2023-10-14,2025-08-15,Terminated,Other,Crossover Assignment,Supportive Care,Rituximab,Anti-CD20,Lymphoma
NCT64586623,Study of Rituximab in Lymphoma,A Phase 3 Study of Rituximab for the Treatment of Lymphoma,Observational,Phase 3,396,2021-11-16,2023-05-13,Terminated,NIH,Crossover Assignment,Treatment,Rituximab,Anti-CD20,Lymphoma
NCT17057020,Study of Rituximab in Lymphoma,A Phase 4 Study of Rituximab for the Treatment of Lymphoma,Observational,Phase 4,639,2021-07-26,2023-03-31,Terminated,Industry,Crossover Assignment,Diagnostic,Rituximab,Anti-CD20,Lymphoma
NCT44586030,Study of Rituximab in Lymphoma,A Phase 4 Study of Rituximab for the Treatment of Lymphoma,Observational,Phase 4,206,2024-04-24,2025-08-01,Suspended,NIH,Crossover Assignment,Supportive Care,Rituximab,Anti-CD20,Lymphoma
NCT67064918,Study of Rituximab in Lymphoma,A Phase 4 Study of Rituximab for the Treatment of Lymphoma,Interventional,Phase 4,812,2021-08-13,2022-05-01,Suspended,Industry,Parallel Assignment,Supportive Care,Rituximab,Anti-CD20,Lymphoma
NCT98784408,Study of Rituximab in Leukemia,A Phase 1 Study of Rituximab for the Treatment of Leukemia,Observational,Phase 1,907,2020-12-10,2021-01-10,Terminated,Other,Single Group Assignment,Prevention,Rituximab,Anti-CD20,Leukemia
NCT16782352,Study of Rituximab in Leukemia,A Phase 1 Study of Rituximab for the Treatment of Leukemia,Interventional,Phase 1,777,2024-02-20,2025-12-27,Suspended,Industry,Crossover Assignment,Supportive Care,Rituximab,Anti-CD20,Leukemia
NCT85076861,Study of Rituximab in Leukemia,A Phase 1 Study of Rituximab for the Treatment of Leukemia,Observational,Phase 1,870,2020-06-19,2020-10-10,Recruiting,Industry,Crossover Assignment,Diagnostic,Rituximab,Anti-CD20,Leukemia
NCT82030671,Study of Rituximab in Leukemia,A Phase 2 Study of Rituximab for the Treatment of Leukemia,Interventional,Phase 2,579,2024-02-08,2025-04-09,Terminated,Industry,Parallel Assignment,Treatment,Rituximab,Anti-CD20,Leukemia
NCT68989080,Study of Rituximab in Leukemia,A Phase 3 Study of Rituximab for the Treatment of Leukemia,Interventional,Phase 3,646,2022-01-17,2024-01-14,Suspended,NIH,Single Group Assignment,Supportive Care,Rituximab,Anti-CD20,Leukemia
NCT69137751,Study of Rituximab in Leukemia,A Phase 3 Study of Rituximab for the Treatment of Leukemia,Interventional,Phase 3,983,2023-09-09,2025-09-04,Completed,Industry,Single Group Assignment,Diagnostic,Rituximab,Anti-CD20,Leukemia
NCT48835969,Study of Rituximab in Leukemia,A Phase 4 Study of Rituximab for the Treatment of Leukemia,Interventional,Phase 4,766,2020-08-11,2022-08-01,Recruiting,Industry,Single Group Assignment,Treatment,Rituximab,Anti-CD20,Leukemia
NCT59816313,Study of Rituximab in Leukemia,A Phase 4 Study of Rituximab for the Treatment of Leukemia,Observational,Phase 4,526,2022-01-25,2022-10-01,Recruiting,Other,Crossover Assignment,Supportive Care,Rituximab,Anti-CD20,Leukemia
NCT57743063,Study of Rituximab in Leukemia,A Phase 4 Study of Rituximab for the Treatment of Leukemia,Observational,Phase 4,149,2022-08-07,2023-08-13,Suspended,Industry,Crossover Assignment,Supportive Care,Rituximab,Anti-CD20,Leukemia
NCT91513091,Study of Rituximab in Multiple Sclerosis,A Phase 1 Study of Rituximab for the Treatment of Multiple Sclerosis,Interventional,Phase 1,480,2020-08-27,2021-10-20,Recruiting,Other,Single Group Assignment,Supportive Care,Rituximab,Anti-CD20,Multiple Sclerosis
NCT24762298,Study of Rituximab in Multiple Sclerosis,A Phase 1 Study of Rituximab for the Treatment of Multiple Sclerosis,Interventional,Phase 1,390,2020-04-15,2022-03-10,Completed,NIH,Crossover Assignment,Supportive Care,Rituximab,Anti-CD20,Multiple Sclerosis
NCT29922611,Study of Rituximab in Multiple Sclerosis,A Phase 2 Study of Rituximab for the Treatment of Multiple Sclerosis,Observational,Phase 2,288,2020-10-02,2022-04-12,Terminated,Other,Single Group Assignment,Diagnostic,Rituximab,Anti-CD20,Multiple Sclerosis
NCT70687198,Study of Rituximab in Multiple Sclerosis,A Phase 2 Study of Rituximab for the Treatment of Multiple Sclerosis,Interventional,Phase 2,970,2022-07-03,2023-01-16,Completed,Industry,Crossover Assignment,Supportive Care,Rituximab,Anti-CD20,Multiple Sclerosis
NCT65627719,Study of Rituximab in Multiple Sclerosis,A Phase 3 Study of Rituximab for the Treatment of Multiple Sclerosis,Interventional,Phase 3,36,2024-01-06,2026-01-01,Suspended,NIH,Crossover Assignment,Treatment,Rituximab,Anti-CD20,Multiple Sclerosis
NCT39275439,Study of Rituximab in Multiple Sclerosis,A Phase 3 Study of Rituximab for the Treatment of Multiple Sclerosis,Interventional,Phase 3,525,2021-06-25,2023-06-02,Terminated,Industry,Single Group Assignment,Prevention,Rituximab,Anti-CD20,Multiple Sclerosis
