nct_id,adverse_event,severity,frequency,serious,drug,target
NCT00000000,Cardiac dysfunction,Moderate,93,True,Trastuzumab,HER2
NCT00000000,Arrhythmia,Life-threatening,22,False,Trastuzumab,HER2
NCT00000000,Heart failure,Moderate,88,True,Trastuzumab,HER2
NCT00000000,Hypertension,Mild,74,True,Trastuzumab,HER2
NCT00000001,Hypertension,Moderate,53,True,Bevacizumab,VEGF
NCT00000001,Thromboembolism,Life-threatening,65,False,Bevacizumab,VEGF
NCT00000001,Bleeding,Mild,91,True,Bevacizumab,VEGF
NCT00000001,Proteinuria,Moderate,72,False,Bevacizumab,VEGF
NCT00000002,Rash,Severe,70,False,Daratumumab,CD38
NCT00000002,Pruritus,Severe,79,False,Daratumumab,CD38
NCT00000002,Chills,Moderate,32,False,Daratumumab,CD38
NCT00000002,Infusion reaction,Severe,29,False,Daratumumab,CD38
NCT00000002,Fever,Severe,91,True,Daratumumab,CD38
NCT00000003,Rash,Severe,16,False,Rituximab,CD20
NCT00000003,Fever,Life-threatening,45,True,Rituximab,CD20
NCT00000003,Chills,Severe,6,False,Rituximab,CD20
NCT00000003,Pruritus,Mild,45,False,Rituximab,CD20
NCT00000003,Infusion reaction,Severe,96,False,Rituximab,CD20
NCT00000004,Thromboembolism,Moderate,14,True,Bevacizumab,VEGF
NCT00000004,Bleeding,Moderate,7,True,Bevacizumab,VEGF
NCT00000004,Proteinuria,Moderate,7,True,Bevacizumab,VEGF
NCT00000004,Hypertension,Life-threatening,43,False,Bevacizumab,VEGF
NCT00000005,Chills,Moderate,53,False,Daratumumab,CD38
NCT00000005,Infusion reaction,Life-threatening,84,True,Daratumumab,CD38
NCT00000005,Fever,Severe,42,False,Daratumumab,CD38
NCT00000006,Colitis,Moderate,54,True,Ipilimumab,CTLA-4
NCT00000006,Rash,Mild,51,False,Ipilimumab,CTLA-4
NCT00000006,Hepatitis,Moderate,96,False,Ipilimumab,CTLA-4
NCT00000006,Thyroiditis,Mild,2,False,Ipilimumab,CTLA-4
NCT00000006,Pneumonitis,Mild,43,False,Ipilimumab,CTLA-4
NCT00000007,Dry skin,Moderate,15,False,Cetuximab,EGFR
NCT00000007,Rash,Moderate,94,False,Cetuximab,EGFR
NCT00000007,Acneiform rash,Severe,92,True,Cetuximab,EGFR
NCT00000007,Pruritus,Mild,95,False,Cetuximab,EGFR
NCT00000008,Thromboembolism,Severe,12,False,Bevacizumab,VEGF
NCT00000008,Hypertension,Mild,24,True,Bevacizumab,VEGF
NCT00000008,Proteinuria,Life-threatening,42,True,Bevacizumab,VEGF
NCT00000008,Bleeding,Mild,34,False,Bevacizumab,VEGF
NCT00000009,Dry skin,Mild,34,False,Cetuximab,EGFR
NCT00000009,Acneiform rash,Moderate,8,True,Cetuximab,EGFR
NCT00000009,Pruritus,Life-threatening,40,True,Cetuximab,EGFR
NCT00000009,Rash,Life-threatening,88,False,Cetuximab,EGFR
NCT00000010,Colitis,Moderate,62,True,Ipilimumab,CTLA-4
NCT00000010,Hepatitis,Life-threatening,96,False,Ipilimumab,CTLA-4
NCT00000010,Pneumonitis,Life-threatening,90,False,Ipilimumab,CTLA-4
NCT00000010,Rash,Moderate,98,True,Ipilimumab,CTLA-4
NCT00000010,Thyroiditis,Mild,68,False,Ipilimumab,CTLA-4
NCT00000011,Fever,Moderate,74,True,Daratumumab,CD38
NCT00000011,Infusion reaction,Moderate,42,False,Daratumumab,CD38
NCT00000011,Pruritus,Mild,88,True,Daratumumab,CD38
NCT00000011,Rash,Life-threatening,12,False,Daratumumab,CD38
NCT00000011,Chills,Mild,59,True,Daratumumab,CD38
NCT00000012,Hypertension,Severe,93,True,Trastuzumab,HER2
NCT00000012,Heart failure,Life-threatening,33,True,Trastuzumab,HER2
NCT00000012,Cardiac dysfunction,Moderate,75,True,Trastuzumab,HER2
NCT00000012,Arrhythmia,Mild,55,False,Trastuzumab,HER2
NCT00000013,Cardiac dysfunction,Life-threatening,5,False,Trastuzumab,HER2
NCT00000013,Arrhythmia,Life-threatening,24,True,Trastuzumab,HER2
NCT00000013,Hypertension,Life-threatening,48,False,Trastuzumab,HER2
NCT00000013,Heart failure,Life-threatening,49,False,Trastuzumab,HER2
NCT00000014,Pneumonia,Mild,23,False,Adalimumab,TNF-alpha
NCT00000014,Sepsis,Moderate,94,True,Adalimumab,TNF-alpha
NCT00000014,Tuberculosis,Mild,97,True,Adalimumab,TNF-alpha
NCT00000015,Hypertension,Moderate,32,False,Trastuzumab,HER2
NCT00000015,Arrhythmia,Severe,20,False,Trastuzumab,HER2
NCT00000015,Heart failure,Moderate,93,True,Trastuzumab,HER2
NCT00000015,Cardiac dysfunction,Mild,85,False,Trastuzumab,HER2
NCT00000016,Infection,Mild,77,True,Tocilizumab,IL-6
NCT00000016,Tuberculosis,Life-threatening,77,True,Tocilizumab,IL-6
NCT00000016,Sepsis,Moderate,95,True,Tocilizumab,IL-6
NCT00000016,Pneumonia,Life-threatening,57,True,Tocilizumab,IL-6
NCT00000017,Thromboembolism,Moderate,94,False,Bevacizumab,VEGF
NCT00000017,Hypertension,Severe,31,False,Bevacizumab,VEGF
NCT00000017,Bleeding,Moderate,85,True,Bevacizumab,VEGF
NCT00000017,Proteinuria,Life-threatening,39,False,Bevacizumab,VEGF
NCT00000018,Pruritus,Life-threatening,72,False,Daratumumab,CD38
NCT00000018,Chills,Mild,45,False,Daratumumab,CD38
NCT00000018,Fever,Severe,90,False,Daratumumab,CD38
