nct_id,title,overall_status,study_type,phases,conditions,lead_sponsor,group_id,group_title,num_at_risk,total_serious_ae,total_other_ae,interventions,arm_label,arm_inferred_intervention,intervention_class,sae_rate,other_ae_rate
NCT01392326,"Efficacy at 24 Weeks and Long Term Safety, Tolerability and Efficacy up to 2 Years of Secukinumab (AIN457) in Patients With Active Psoriatic Arthritis (PsA)",COMPLETED,INTERVENTIONAL,PHASE3,Psoriatic Arthritis,Novartis Pharmaceuticals,EG000,Any AIN457 75 mg,292,63,714,Placebo Comparator; Secukinumab (150 mg); Secukinumab (75 mg),Any AIN457 75 mg,,other,0.215753,2.445205
NCT01392326,"Efficacy at 24 Weeks and Long Term Safety, Tolerability and Efficacy up to 2 Years of Secukinumab (AIN457) in Patients With Active Psoriatic Arthritis (PsA)",COMPLETED,INTERVENTIONAL,PHASE3,Psoriatic Arthritis,Novartis Pharmaceuticals,EG001,Any AIN457 150 mg,295,81,745,Placebo Comparator; Secukinumab (150 mg); Secukinumab (75 mg),Any AIN457 150 mg,,other,0.274576,2.525424
NCT01392326,"Efficacy at 24 Weeks and Long Term Safety, Tolerability and Efficacy up to 2 Years of Secukinumab (AIN457) in Patients With Active Psoriatic Arthritis (PsA)",COMPLETED,INTERVENTIONAL,PHASE3,Psoriatic Arthritis,Novartis Pharmaceuticals,EG002,Placebo,202,12,166,Placebo Comparator; Secukinumab (150 mg); Secukinumab (75 mg),Placebo,,other,0.059406,0.821782
NCT02690948,Pembrolizumab With or Without Vismodegib in Treating Metastatic or Unresectable Basal Cell Skin Cancer,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Skin Basal Cell Carcinoma,Anne Chang,EG000,Pembrolizumab Monotherapy,9,5,72,Pembrolizumab; Vismodegib,Pembrolizumab Monotherapy,Pembrolizumab,mab,0.555556,8.000000
NCT02690948,Pembrolizumab With or Without Vismodegib in Treating Metastatic or Unresectable Basal Cell Skin Cancer,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Skin Basal Cell Carcinoma,Anne Chang,EG001,Pembrolizumab Plus Vismodegib Combination Therapy,7,3,39,Pembrolizumab; Vismodegib,Pembrolizumab Plus Vismodegib Combination Therapy,Pembrolizumab,mab,0.428571,5.571429
NCT00582166,Ibritumomab Tiuxetan (Zevalin)+ Rituximab Maintenance,TERMINATED,INTERVENTIONAL,PHASE2,Non-Hodgkin's Lymphoma,"University of Wisconsin, Madison",EG000,Zevalin With Rituximab Maintenance,16,7,151,Ibritumomab Tiuxetan (Zevalin) + Rituximab,Zevalin With Rituximab Maintenance,,other,0.437500,9.437500
NCT00091026,Bevacizumab and Gemcitabine Combined With Either Cetuximab or Erlotinib in Treating Patients With Advanced Pancreatic Cancer,COMPLETED,INTERVENTIONAL,PHASE2,"Adenocarcinoma of the Pancreas, Recurrent Pancreatic Cancer, Stage II Pancreatic Cancer, Stage III Pancreatic Cancer, Stage IV Pancreatic Cancer",National Cancer Institute (NCI),EG000,"Arm I (Cetuximab, Gemcitabine Hydrochloride, Bevacizumab)",71,47,84,bevacizumab; cetuximab; erlotinib hydrochloride; gemcitabine hydrochloride,"Arm I (Cetuximab, Gemcitabine Hydrochloride, Bevacizumab)",gemcitabine hydrochloride,other,0.661972,1.183099
NCT00091026,Bevacizumab and Gemcitabine Combined With Either Cetuximab or Erlotinib in Treating Patients With Advanced Pancreatic Cancer,COMPLETED,INTERVENTIONAL,PHASE2,"Adenocarcinoma of the Pancreas, Recurrent Pancreatic Cancer, Stage II Pancreatic Cancer, Stage III Pancreatic Cancer, Stage IV Pancreatic Cancer",National Cancer Institute (NCI),EG001,"Arm II (Gemcitabine Hydrochloride, Bevacizumab, Erlotinib)",68,28,104,bevacizumab; cetuximab; erlotinib hydrochloride; gemcitabine hydrochloride,"Arm II (Gemcitabine Hydrochloride, Bevacizumab, Erlotinib)",gemcitabine hydrochloride,other,0.411765,1.529412
NCT00820248,Radiation + Cisplatin or Panitumumab in Locally Advanced Stage III or Stage IV Head and Neck Cancer,COMPLETED,INTERVENTIONAL,PHASE3,Head and Neck Cancer,NCIC Clinical Trials Group,EG000,Cisplatin,156,0,2864,3-dimensional conformal radiation therapy; accelerated radiation therapy; cisplatin; intensity-modulated radiation therapy; panitumumab,Cisplatin,cisplatin,other,0.000000,18.358974
NCT00820248,Radiation + Cisplatin or Panitumumab in Locally Advanced Stage III or Stage IV Head and Neck Cancer,COMPLETED,INTERVENTIONAL,PHASE3,Head and Neck Cancer,NCIC Clinical Trials Group,EG001,Panitumumab,159,0,3017,3-dimensional conformal radiation therapy; accelerated radiation therapy; cisplatin; intensity-modulated radiation therapy; panitumumab,Panitumumab,panitumumab,mab,0.000000,18.974843
NCT04560166,Naxitamab and GM-CSF in Combination With IT in Patients With High-Risk Neuroblastoma,TERMINATED,INTERVENTIONAL,PHASE2,Neuroblastoma Recurrent,Y-mAbs Therapeutics,EG000,Naxitamab and GM-CSF in Combination With Irinotecan and Temozolomide,2,3,34,Naxitamab and GM-CSF in combination with irinotecan and temozolomide,Naxitamab and GM-CSF in Combination With Irinotecan and Temozolomide,Naxitamab and GM-CSF in combination with irinotecan and temozolomide,mab,1.500000,17.000000
NCT00297648,Mucosal Healing Study in Crohn's Disease (CD),COMPLETED,INTERVENTIONAL,PHASE3,Crohn's Disease,UCB Pharma,EG000,CDP870 400 mg,89,60,425,Certolizumab pegol,CDP870 400 mg,,other,0.674157,4.775281
NCT03114657,A Study of Crenezumab Versus Placebo to Evaluate the Efficacy and Safety in Participants With Prodromal to Mild Alzheimer's Disease (AD),TERMINATED,INTERVENTIONAL,PHASE3,Alzheimer's Disease,Hoffmann-La Roche,EG000,Placebo,398,60,82,Crenezumab; Placebo,Placebo,Placebo,other,0.150754,0.206030
NCT03114657,A Study of Crenezumab Versus Placebo to Evaluate the Efficacy and Safety in Participants With Prodromal to Mild Alzheimer's Disease (AD),TERMINATED,INTERVENTIONAL,PHASE3,Alzheimer's Disease,Hoffmann-La Roche,EG001,Crenezumab,404,42,95,Crenezumab; Placebo,Crenezumab,Crenezumab,mab,0.103960,0.235149
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG000,Part 1: GSK3174998 0.003 mg/kg,1,2,4,GSK3174998; Pembrolizumab,Part 1: GSK3174998 0.003 mg/kg,GSK3174998,other,2.000000,4.000000
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG001,Part 1: GSK3174998 0.01 mg/kg,1,0,10,GSK3174998; Pembrolizumab,Part 1: GSK3174998 0.01 mg/kg,GSK3174998,other,0.000000,10.000000
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG002,Part 1: GSK3174998 0.03 mg/kg,8,4,40,GSK3174998; Pembrolizumab,Part 1: GSK3174998 0.03 mg/kg,GSK3174998,other,0.500000,5.000000
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG003,Part 1: GSK3174998 0.1 mg/kg,10,8,71,GSK3174998; Pembrolizumab,Part 1: GSK3174998 0.1 mg/kg,GSK3174998,other,0.800000,7.100000
