nct_id,title,overall_status,study_type,phases,conditions,lead_sponsor,group_id,group_title,num_at_risk,total_serious_ae,total_other_ae,interventions
NCT01392326,"Efficacy at 24 Weeks and Long Term Safety, Tolerability and Efficacy up to 2 Years of Secukinumab (AIN457) in Patients With Active Psoriatic Arthritis (PsA)",COMPLETED,INTERVENTIONAL,PHASE3,Psoriatic Arthritis,Novartis Pharmaceuticals,EG000,Any AIN457 75 mg,292,63,714,Placebo Comparator; Secukinumab (150 mg); Secukinumab (75 mg)
NCT01392326,"Efficacy at 24 Weeks and Long Term Safety, Tolerability and Efficacy up to 2 Years of Secukinumab (AIN457) in Patients With Active Psoriatic Arthritis (PsA)",COMPLETED,INTERVENTIONAL,PHASE3,Psoriatic Arthritis,Novartis Pharmaceuticals,EG001,Any AIN457 150 mg,295,81,745,Placebo Comparator; Secukinumab (150 mg); Secukinumab (75 mg)
NCT01392326,"Efficacy at 24 Weeks and Long Term Safety, Tolerability and Efficacy up to 2 Years of Secukinumab (AIN457) in Patients With Active Psoriatic Arthritis (PsA)",COMPLETED,INTERVENTIONAL,PHASE3,Psoriatic Arthritis,Novartis Pharmaceuticals,EG002,Placebo,202,12,166,Placebo Comparator; Secukinumab (150 mg); Secukinumab (75 mg)
NCT02690948,Pembrolizumab With or Without Vismodegib in Treating Metastatic or Unresectable Basal Cell Skin Cancer,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Skin Basal Cell Carcinoma,Anne Chang,EG000,Pembrolizumab Monotherapy,9,5,72,Pembrolizumab; Vismodegib
NCT02690948,Pembrolizumab With or Without Vismodegib in Treating Metastatic or Unresectable Basal Cell Skin Cancer,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Skin Basal Cell Carcinoma,Anne Chang,EG001,Pembrolizumab Plus Vismodegib Combination Therapy,7,3,39,Pembrolizumab; Vismodegib
NCT00582166,Ibritumomab Tiuxetan (Zevalin)+ Rituximab Maintenance,TERMINATED,INTERVENTIONAL,PHASE2,Non-Hodgkin's Lymphoma,"University of Wisconsin, Madison",EG000,Zevalin With Rituximab Maintenance,16,7,151,Ibritumomab Tiuxetan (Zevalin) + Rituximab
NCT00091026,Bevacizumab and Gemcitabine Combined With Either Cetuximab or Erlotinib in Treating Patients With Advanced Pancreatic Cancer,COMPLETED,INTERVENTIONAL,PHASE2,"Adenocarcinoma of the Pancreas, Recurrent Pancreatic Cancer, Stage II Pancreatic Cancer, Stage III Pancreatic Cancer, Stage IV Pancreatic Cancer",National Cancer Institute (NCI),EG000,"Arm I (Cetuximab, Gemcitabine Hydrochloride, Bevacizumab)",71,47,84,bevacizumab; cetuximab; erlotinib hydrochloride; gemcitabine hydrochloride
NCT00091026,Bevacizumab and Gemcitabine Combined With Either Cetuximab or Erlotinib in Treating Patients With Advanced Pancreatic Cancer,COMPLETED,INTERVENTIONAL,PHASE2,"Adenocarcinoma of the Pancreas, Recurrent Pancreatic Cancer, Stage II Pancreatic Cancer, Stage III Pancreatic Cancer, Stage IV Pancreatic Cancer",National Cancer Institute (NCI),EG001,"Arm II (Gemcitabine Hydrochloride, Bevacizumab, Erlotinib)",68,28,104,bevacizumab; cetuximab; erlotinib hydrochloride; gemcitabine hydrochloride
NCT00820248,Radiation + Cisplatin or Panitumumab in Locally Advanced Stage III or Stage IV Head and Neck Cancer,COMPLETED,INTERVENTIONAL,PHASE3,Head and Neck Cancer,NCIC Clinical Trials Group,EG000,Cisplatin,156,0,2864,3-dimensional conformal radiation therapy; accelerated radiation therapy; cisplatin; intensity-modulated radiation therapy; panitumumab
NCT00820248,Radiation + Cisplatin or Panitumumab in Locally Advanced Stage III or Stage IV Head and Neck Cancer,COMPLETED,INTERVENTIONAL,PHASE3,Head and Neck Cancer,NCIC Clinical Trials Group,EG001,Panitumumab,159,0,3017,3-dimensional conformal radiation therapy; accelerated radiation therapy; cisplatin; intensity-modulated radiation therapy; panitumumab
