nct_id,antibody_name,antibody_category,indication,phase,enrollment,adverse_event_term,organ_system,serious,severity,assessed_participants,affected_participants,events,fraction_affected_%,is_failed_candidate,failure_reason,dose_mg_m2,duration_days,reversible,manageable,management_strategy,time_to_onset_days,resolution_days
NCT34070808,Rituximab,Anti-CD20,Breast Cancer,Phase 4,277,Anemia,Hepatobiliary disorders,Yes,Moderate,277,18,19,6.5,Yes,Safety concerns,5,72,Yes,No,Supportive care,19,14
NCT54643195,Rituximab,Anti-CD20,Breast Cancer,Phase 4,225,Diarrhea,Skin disorders,No,Moderate,225,19,20,8.44,No,,15,133,Yes,Yes,Dose reduction,24,51
NCT55829664,Rituximab,Anti-CD20,Multiple Myeloma,Phase 3,31,Diarrhea,Musculoskeletal disorders,No,Severe,31,4,8,12.9,No,,7,101,Yes,No,Dose reduction,9,70
NCT32052616,Rituximab,Anti-CD20,Rheumatoid Arthritis,Phase 3,50,Rash,Cardiac disorders,No,Mild,50,11,12,22.0,No,,8,56,No,Yes,Supportive care,28,5
NCT89290892,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 2,38,Pneumonitis,Skin disorders,Yes,Severe,38,3,4,7.89,Yes,Regulatory issues,3,235,Yes,No,Discontinuation,2,73
NCT80462634,Rituximab,Anti-CD20,Colorectal Cancer,Phase 3,46,Infusion-related reaction,Respiratory disorders,Yes,Mild,46,5,7,10.87,No,,12,77,No,Yes,Dose reduction,25,26
NCT10100570,Rituximab,Anti-CD20,Multiple Myeloma,Phase 4,194,Hyperthyroidism,Endocrine disorders,No,Severe,194,11,12,5.67,Yes,Safety concerns,8,362,Yes,Yes,Discontinuation,11,66
NCT72031846,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 3,458,Fatigue,Blood disorders,No,Moderate,458,95,96,20.74,Yes,Lack of efficacy,6,81,Yes,No,Discontinuation,7,15
NCT90184158,Rituximab,Anti-CD20,Lung Cancer,Phase 4,450,Fatigue,Respiratory disorders,No,Mild,450,7,11,1.56,Yes,Safety concerns,3,102,Yes,Yes,Discontinuation,11,65
NCT28812442,Rituximab,Anti-CD20,Melanoma,Phase 3,325,Anemia,Hepatobiliary disorders,No,Mild,325,54,58,16.62,No,,4,334,Yes,No,Dose reduction,18,2
NCT81691212,Rituximab,Anti-CD20,Breast Cancer,Phase 3,40,Thrombocytopenia,General disorders,No,Severe,40,12,12,30.0,Yes,Safety concerns,19,232,Yes,Yes,Treatment interruption,1,67
NCT95525437,Rituximab,Anti-CD20,Breast Cancer,Phase 2,454,Hypothyroidism,Endocrine disorders,No,Mild,454,97,97,21.37,No,,10,218,Yes,Yes,Supportive care,13,46
NCT77796362,Rituximab,Anti-CD20,Rheumatoid Arthritis,Phase 4,68,Cardiotoxicity,General disorders,No,Moderate,68,12,16,17.65,Yes,Regulatory issues,3,309,Yes,No,Discontinuation,9,80
NCT18883869,Rituximab,Anti-CD20,Lung Cancer,Phase 2,421,Arthralgia,General disorders,No,Severe,421,115,116,27.32,No,,17,256,Yes,No,Treatment interruption,26,54
NCT22653415,Rituximab,Anti-CD20,Melanoma,Phase 1,443,Hyperthyroidism,Blood disorders,Yes,Severe,443,129,130,29.12,Yes,Safety concerns,6,346,No,Yes,Dose reduction,22,4
NCT43464084,Rituximab,Anti-CD20,Melanoma,Phase 3,420,Hypothyroidism,Respiratory disorders,No,Severe,420,77,82,18.33,No,,1,255,No,No,Supportive care,19,29
NCT90007946,Rituximab,Anti-CD20,Breast Cancer,Phase 2,149,Anemia,Respiratory disorders,No,Moderate,149,28,30,18.79,No,,1,37,No,Yes,Supportive care,12,6
