rct_number,antibody_name,antibody_category,trial_design,control_arm,phase,enrollment,dose_mg_m2,dose_frequency,duration_days,age_range,gender_distribution,ecog_performance,prior_treatments,comorbidities,baseline_organ_function,adverse_event,toxicity_type,organ_system,severity,ctcae_grade,fraction_affected_%,reversible,manageable,management_strategy,mitigation_strategy,time_to_onset_days,resolution_days,dose_modification_required,dose_modification_type,treatment_discontinuation,fatal_outcome,is_failed_candidate,failure_reason,contributed_to_failure,biomarker_correlation,predictive_factor,risk_stratification
RCT21195,Rituximab,Anti-CD20,Single-arm,Standard of care,Phase 3,214,13,Every 3 weeks,97,21-85,40% M/60% F,1-2,3,3,Moderate impairment,Infusion reaction,Cardiac,Skin,Severe,2,2.36,Yes,Yes,Dose reduction,Dose adjustment,27,48,Yes,Delay,Yes,Yes,Yes,Efficacy,Yes,Positive,Gender,High
RCT84259,Trastuzumab,Anti-HER2,Single-arm,Placebo,Phase 2,211,11,Bi-weekly,55,18-65,40% M/60% F,1-2,4,0,Normal,Rash,Gastrointestinal,Blood,Mild,1,28.16,No,No,Discontinuation,Monitoring,8,47,Yes,None,Yes,Yes,No,Regulatory,,Unknown,None,Low
RCT24326,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 3,131,6,Bi-weekly,107,18-75,40% M/60% F,1-2,0,2,Moderate impairment,Rash,Cardiac,Gastrointestinal,Moderate,2,12.55,Yes,No,Treatment hold,Dose adjustment,11,36,Yes,Reduction,Yes,Yes,Yes,Safety,Yes,Negative,Age,Low
RCT48381,Bevacizumab,Anti-VEGF,Crossover,Standard of care,Phase 3,270,5,Every 3 weeks,31,≥18,60% M/40% F,0-2,3,1,Mild impairment,Rash,Gastrointestinal,Cardiac,Severe,2,4.37,No,No,Discontinuation,Monitoring,18,41,No,Reduction,Yes,Yes,No,,Yes,Negative,None,Unknown
RCT28184,Cetuximab,Anti-EGFR,Randomized,Standard of care,Phase 3,117,10,Every 3 weeks,132,21-85,50% M/50% F,1-2,0,0,Normal,Nausea,Cardiac,Hepatic,Mild,4,14.83,No,No,Dose reduction,Monitoring,5,45,Yes,Discontinuation,No,Yes,No,Efficacy,No,Unknown,None,High
RCT80276,Rituximab,Anti-CD20,Crossover,Standard of care,Phase 3,20,10,Bi-weekly,90,≥18,40% M/60% F,0-2,4,1,Normal,Rash,Dermatological,Cardiac,Moderate,1,9.52,Yes,No,Treatment hold,Patient education,11,38,Yes,Discontinuation,No,No,Yes,Efficacy,Yes,Positive,Age,Low
RCT29941,Trastuzumab,Anti-HER2,Randomized,Standard of care,Phase 3,110,15,Every 3 weeks,78,≥18,40% M/60% F,0-2,4,2,Normal,Neutropenia,Cardiac,Cardiac,Moderate,4,9.24,Yes,No,Discontinuation,Patient education,26,45,Yes,Reduction,No,No,Yes,Safety,,Positive,Prior treatments,High
RCT61992,Pembrolizumab,Anti-PD-1,Randomized,Placebo,Phase 3,296,1,Every 3 weeks,35,18-65,40% M/60% F,0-1,3,0,Moderate impairment,Neutropenia,Cardiac,Hepatic,Moderate,3,27.83,Yes,Yes,Discontinuation,Monitoring,13,36,No,None,Yes,No,No,Safety,No,Positive,None,Unknown
RCT84286,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 2,126,9,Every 3 weeks,175,21-85,60% M/40% F,1-2,1,2,Normal,Rash,Dermatological,Cardiac,Moderate,4,5.7,No,Yes,Discontinuation,Patient education,9,24,No,Discontinuation,No,Yes,Yes,Efficacy,,None,ECOG,Medium
RCT93001,Cetuximab,Anti-EGFR,Randomized,Placebo,Phase 3,191,10,Every 3 weeks,146,21-85,40% M/60% F,1-2,2,0,Normal,Rash,Gastrointestinal,Gastrointestinal,Mild,5,16.79,Yes,Yes,Treatment hold,Patient education,6,35,Yes,Discontinuation,No,No,No,Safety,,Positive,ECOG,High
