Antibody_Name,Antibody_Type,Indication,Phase,Dose_mg_m2,Dose_Frequency,Enrollment,Duration_Days,Age_Range,Gender,ECOG_Performance,Adverse_Event,Organ_System,Severity,Affected_Patients,Fraction_Affected_%,Reversible,Manageable,Management_Strategy,Time_to_Onset_Days,Resolution_Days,Dose_Reduction_Required,Treatment_Discontinuation,Fatal_Outcome
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 1,1200,Weekly,150,120,57-72,Female only,0-3,Severe Colitis,Gastrointestinal,Severe,15,10.0,Yes,Yes,"Corticosteroids, infliximab",5,13,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 2,840,Weekly,50,314,50-84,Female only,0-3,Severe Pneumonitis,Respiratory,Severe,5,10.0,Partial,Yes,"Corticosteroids, oxygen therapy",44,8,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,840,Bi-weekly,193,100,36-84,Female only,0-1,Severe Neuropathy,Neurological,Severe,19,9.84,Partial,Yes,"Dose reduction, pain management",77,41,Yes,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,1680,Weekly,96,338,54-68,Male only,0-1,Severe Colitis,Gastrointestinal,Severe,9,9.38,Yes,Yes,"Corticosteroids, infliximab",6,8,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,840,Every 3 weeks,212,147,42-79,Male only,0-1,Severe Myocarditis,Cardiovascular,Severe,19,8.96,Partial,Yes,"Corticosteroids, cardiac support",66,30,Yes,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,1200,Every 3 weeks,103,279,30-72,All,0-3,Severe Colitis,Gastrointestinal,Severe,9,8.74,Yes,Yes,"Corticosteroids, infliximab",70,3,Yes,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,1200,Bi-weekly,234,193,41-73,Female only,0-2,Anaphylaxis,Immunological,Severe,19,8.12,Yes,Yes,"Epinephrine, antihistamines, corticosteroids",46,37,No,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,1200,Bi-weekly,37,217,31-84,Male only,0-2,Anaphylaxis,Immunological,Severe,3,8.11,Yes,Yes,"Epinephrine, antihistamines, corticosteroids",40,38,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,840,Monthly,235,145,49-77,Female only,0-1,Severe Pneumonitis,Respiratory,Severe,19,8.09,Partial,Yes,"Corticosteroids, oxygen therapy",19,60,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 2,840,Weekly,50,314,50-84,Female only,0-3,Severe Neutropenia,Hematological,Severe,4,8.0,Yes,Yes,"G-CSF, antibiotics, dose reduction",72,26,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1200,Every 3 weeks,256,117,31-65,Female only,0-1,Severe Colitis,Gastrointestinal,Severe,20,7.81,Yes,Yes,"Corticosteroids, infliximab",10,8,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1200,Every 3 weeks,256,117,31-65,Female only,0-1,Severe Neuropathy,Neurological,Severe,20,7.81,Partial,Yes,"Dose reduction, pain management",13,13,No,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,840,Bi-weekly,193,100,36-84,Female only,0-1,Severe Neutropenia,Hematological,Severe,15,7.77,Yes,Yes,"G-CSF, antibiotics, dose reduction",69,14,Yes,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,840,Every 3 weeks,26,164,31-65,Male only,0-3,Cardiac Toxicity,Cardiovascular,Severe,2,7.69,Partial,Yes,"Cardiac monitoring, ACE inhibitors, beta-blockers",87,13,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,1200,Bi-weekly,237,135,36-65,All,0-1,Anaphylaxis,Immunological,Severe,18,7.59,Yes,Yes,"Epinephrine, antihistamines, corticosteroids",41,39,No,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 1,1680,Bi-weekly,55,287,52-70,Male only,0-2,Severe Neuropathy,Neurological,Severe,4,7.27,Partial,Yes,"Dose reduction, pain management",59,34,No,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 1,1680,Bi-weekly,55,287,52-70,Male only,0-2,Severe Neutropenia,Hematological,Severe,4,7.27,Yes,Yes,"G-CSF, antibiotics, dose reduction",47,25,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 2,1680,Monthly,210,226,31-68,Female only,0-3,Anaphylaxis,Immunological,Severe,15,7.14,Yes,Yes,"Epinephrine, antihistamines, corticosteroids",51,5,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,1680,Weekly,285,76,38-81,All,0-3,Severe Thrombocytopenia,Hematological,Severe,20,7.02,Yes,Yes,"Platelet transfusion, dose adjustment",16,60,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,1680,Monthly,114,227,36-69,All,0-3,Severe Hepatotoxicity,Hepatic,Severe,8,7.02,Partial,Yes,"Liver function monitoring, dose adjustment",49,10,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,840,Monthly,292,62,62-66,All,0-1,Anaphylaxis,Immunological,Severe,20,6.85,Yes,Yes,"Epinephrine, antihistamines, corticosteroids",43,17,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1680,Weekly,266,305,29-66,All,0-2,Severe Myocarditis,Cardiovascular,Severe,18,6.77,Partial,Yes,"Corticosteroids, cardiac support",54,56,Yes,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 2,1680,Monthly,210,226,31-68,Female only,0-3,Cardiac Toxicity,Cardiovascular,Severe,14,6.67,Partial,Yes,"Cardiac monitoring, ACE inhibitors, beta-blockers",48,6,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,840,Monthly,292,62,62-66,All,0-1,Severe Colitis,Gastrointestinal,Severe,19,6.51,Yes,Yes,"Corticosteroids, infliximab",17,9,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 2,1680,Every 3 weeks,244,238,48-70,All,1-2,Cardiac Toxicity,Cardiovascular,Severe,15,6.15,Partial,Yes,"Cardiac monitoring, ACE inhibitors, beta-blockers",84,51,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 2,1680,Every 3 weeks,147,69,50-70,Male only,0-3,Severe Colitis,Gastrointestinal,Severe,9,6.12,Yes,Yes,"Corticosteroids, infliximab",74,47,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 1,840,Bi-weekly,341,119,39-66,Female only,0-2,Severe Neutropenia,Hematological,Severe,20,5.87,Yes,Yes,"G-CSF, antibiotics, dose reduction",58,11,Yes,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,1200,Weekly,309,293,47-65,Female only,0-2,Severe Colitis,Gastrointestinal,Severe,18,5.83,Yes,Yes,"Corticosteroids, infliximab",29,10,No,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,1200,Every 3 weeks,103,279,30-72,All,0-3,Severe Pneumonitis,Respiratory,Severe,6,5.83,Partial,Yes,"Corticosteroids, oxygen therapy",24,1,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,1200,Bi-weekly,237,135,36-65,All,0-1,Severe Hepatotoxicity,Hepatic,Severe,13,5.49,Partial,Yes,"Liver function monitoring, dose adjustment",70,44,No,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 1,1680,Bi-weekly,55,287,52-70,Male only,0-2,Severe Hepatotoxicity,Hepatic,Severe,3,5.45,Partial,Yes,"Liver function monitoring, dose adjustment",45,24,No,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,1200,Bi-weekly,37,217,31-84,Male only,0-2,Severe Hepatotoxicity,Hepatic,Severe,2,5.41,Partial,Yes,"Liver function monitoring, dose adjustment",58,55,Yes,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 2,1680,Every 3 weeks,244,238,48-70,All,1-2,Severe Thrombocytopenia,Hematological,Severe,13,5.33,Yes,Yes,"Platelet transfusion, dose adjustment",50,20,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 1,1680,Weekly,95,124,32-83,All,0-2,Severe Myocarditis,Cardiovascular,Severe,5,5.26,Partial,Yes,"Corticosteroids, cardiac support",32,25,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,1680,Weekly,285,76,38-81,All,0-3,Cytokine Release Syndrome,Immunological,Severe,15,5.26,Yes,Yes,"Tocilizumab, corticosteroids, supportive care",86,56,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,1680,Bi-weekly,363,354,60-78,Male only,0-3,Cytokine Release Syndrome,Immunological,Severe,19,5.23,Yes,Yes,"Tocilizumab, corticosteroids, supportive care",51,48,No,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,1200,Weekly,309,293,47-65,Female only,0-2,Severe Colitis,Gastrointestinal,Severe,16,5.18,Yes,Yes,"Corticosteroids, infliximab",39,35,No,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,1200,Weekly,309,293,47-65,Female only,0-2,Severe Neuropathy,Neurological,Severe,16,5.18,Partial,Yes,"Dose reduction, pain management",53,25,No,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 2,1200,Every 3 weeks,375,96,54-84,Male only,0-3,Severe Pneumonitis,Respiratory,Severe,18,4.8,Partial,Yes,"Corticosteroids, oxygen therapy",6,26,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1200,Every 3 weeks,256,117,31-65,Female only,0-1,Severe Colitis,Gastrointestinal,Severe,12,4.69,Yes,Yes,"Corticosteroids, infliximab",85,58,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 1,1200,Weekly,150,120,57-72,Female only,0-3,Cytokine Release Syndrome,Immunological,Severe,7,4.67,Yes,Yes,"Tocilizumab, corticosteroids, supportive care",88,18,No,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,840,Bi-weekly,193,100,36-84,Female only,0-1,Severe Thrombocytopenia,Hematological,Severe,9,4.66,Yes,Yes,"Platelet transfusion, dose adjustment",8,60,No,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 1,840,Bi-weekly,341,119,39-66,Female only,0-2,Severe Hepatotoxicity,Hepatic,Severe,15,4.4,Partial,Yes,"Liver function monitoring, dose adjustment",45,14,Yes,Yes,Yes
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 2,840,Weekly,368,97,28-78,All,0-2,Severe Neuropathy,Neurological,Severe,15,4.08,Partial,Yes,"Dose reduction, pain management",4,9,Yes,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 2,1680,Every 3 weeks,327,132,64-81,Male only,0-1,Severe Hepatotoxicity,Hepatic,Severe,13,3.98,Partial,Yes,"Liver function monitoring, dose adjustment",24,32,Yes,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 2,840,Weekly,458,83,18-68,Male only,0-3,Severe Thrombocytopenia,Hematological,Severe,18,3.93,Yes,Yes,"Platelet transfusion, dose adjustment",72,29,Yes,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1200,Monthly,414,253,43-76,All,0-3,Anaphylaxis,Immunological,Severe,16,3.86,Yes,Yes,"Epinephrine, antihistamines, corticosteroids",20,35,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,840,Monthly,235,145,49-77,Female only,0-1,Cytokine Release Syndrome,Immunological,Severe,9,3.83,Yes,Yes,"Tocilizumab, corticosteroids, supportive care",88,10,Yes,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,840,Monthly,455,196,47-74,All,0-2,Severe Neuropathy,Neurological,Severe,17,3.74,Partial,Yes,"Dose reduction, pain management",82,28,Yes,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,1680,Weekly,285,76,38-81,All,0-3,Severe Hepatotoxicity,Hepatic,Severe,10,3.51,Partial,Yes,"Liver function monitoring, dose adjustment",54,36,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,1680,Monthly,114,227,36-69,All,0-3,Severe Neutropenia,Hematological,Severe,4,3.51,Yes,Yes,"G-CSF, antibiotics, dose reduction",81,36,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,840,Every 3 weeks,467,193,36-74,Female only,0-2,Severe Pneumonitis,Respiratory,Severe,16,3.43,Partial,Yes,"Corticosteroids, oxygen therapy",81,46,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,1200,Weekly,309,293,47-65,Female only,0-2,Severe Thrombocytopenia,Hematological,Severe,10,3.24,Yes,Yes,"Platelet transfusion, dose adjustment",7,22,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1680,Every 3 weeks,377,46,53-83,Male only,0-2,Severe Neuropathy,Neurological,Severe,12,3.18,Partial,Yes,"Dose reduction, pain management",52,35,No,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,1680,Bi-weekly,481,42,26-74,Male only,1-2,Severe Neutropenia,Hematological,Severe,15,3.12,Yes,Yes,"G-CSF, antibiotics, dose reduction",9,53,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,1680,Weekly,96,338,54-68,Male only,0-1,Severe Neutropenia,Hematological,Severe,3,3.12,Yes,Yes,"G-CSF, antibiotics, dose reduction",24,2,Yes,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,1680,Weekly,96,338,54-68,Male only,0-1,Severe Myocarditis,Cardiovascular,Severe,3,3.12,Partial,Yes,"Corticosteroids, cardiac support",7,44,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 2,1200,Weekly,307,151,21-68,Male only,0-3,Cytokine Release Syndrome,Immunological,Severe,9,2.93,Yes,Yes,"Tocilizumab, corticosteroids, supportive care",54,4,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 2,840,Weekly,458,83,18-68,Male only,0-3,Severe Hepatotoxicity,Hepatic,Severe,13,2.84,Partial,Yes,"Liver function monitoring, dose adjustment",44,44,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,840,Every 3 weeks,467,193,36-74,Female only,0-2,Cytokine Release Syndrome,Immunological,Severe,13,2.78,Yes,Yes,"Tocilizumab, corticosteroids, supportive care",29,41,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1680,Every 3 weeks,377,46,53-83,Male only,0-2,Severe Pneumonitis,Respiratory,Severe,10,2.65,Partial,Yes,"Corticosteroids, oxygen therapy",26,40,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 2,840,Weekly,458,83,18-68,Male only,0-3,Cardiac Toxicity,Cardiovascular,Severe,12,2.62,Partial,Yes,"Cardiac monitoring, ACE inhibitors, beta-blockers",48,46,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 2,1200,Weekly,467,135,26-85,Male only,0-2,Severe Thrombocytopenia,Hematological,Severe,12,2.57,Yes,Yes,"Platelet transfusion, dose adjustment",58,13,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 2,840,Weekly,478,164,64-78,Female only,0-2,Severe Neuropathy,Neurological,Severe,12,2.51,Partial,Yes,"Dose reduction, pain management",68,8,No,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 1,1680,Bi-weekly,282,111,42-76,Male only,0-1,Severe Thrombocytopenia,Hematological,Severe,7,2.48,Yes,Yes,"Platelet transfusion, dose adjustment",63,51,No,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 1,1200,Weekly,446,281,34-78,Female only,1-2,Severe Thrombocytopenia,Hematological,Severe,11,2.47,Yes,Yes,"Platelet transfusion, dose adjustment",45,36,No,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 1,1200,Weekly,446,281,34-78,Female only,1-2,Cardiac Toxicity,Cardiovascular,Severe,11,2.47,Partial,Yes,"Cardiac monitoring, ACE inhibitors, beta-blockers",74,22,No,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 2,1200,Every 3 weeks,375,96,54-84,Male only,0-3,Anaphylaxis,Immunological,Severe,9,2.4,Yes,Yes,"Epinephrine, antihistamines, corticosteroids",68,5,No,No,No
